Random Generator,bet
1,0.085037529
2,0.169913254
3,0.210453261
4,0.099769905
5,0.068313772
6,0.172685055
7,0.142392997
8,0.19138866
9,0.217387522
10,0.069329278
11,0.097824866
12,0.13583981
13,0.105720703
14,0.147855245
15,0.095953799
16,0.085328162
17,0.117817006
18,0.20537721
19,0.147111447
20,0.197381392
21,0.205786245
22,0.17612267
23,0.086984548
24,0.089500526
25,0.074497147
26,0.133984924
27,0.126547075
28,0.219043724
29,0.074834934
30,0.217121305
31,0.127827847
32,0.060388433
33,0.098151107
34,0.055450945
35,0.05253441
36,0.13525458
37,0.154151534
38,0.154624281
39,0.11959409
40,0.119445319
41,0.192813312
42,0.091159782
43,0.194702293
44,0.143358288
45,0.212564975
46,0.146214077
47,0.183024942
48,0.061989208
49,0.188881634
50,0.1607406
51,0.117300964
52,0.149097718
53,0.211348349
54,0.220778582
55,0.213280922
56,0.116703466
57,0.094723712
58,0.095059648
59,0.084455117
60,0.073870158
61,0.159194138
62,0.080405425
63,0.201626051
64,0.223133745
65,0.222661258
66,0.20610229
67,0.205438082
68,0.077535115
69,0.212830407
70,0.194712793
71,0.195135098
72,0.175534552
73,0.077362934
74,0.196205746
75,0.053976808
76,0.210847241
77,0.056828316
78,0.172520928
79,0.127577472
80,0.104926979
81,0.214401384
82,0.194155459
83,0.086951968
84,0.066035152
85,0.132298103
86,0.058760748
87,0.219924653
88,0.187052219
89,0.106698329
90,0.157010128
91,0.174778163
92,0.108799437
93,0.082819003
94,0.119457918
95,0.106467308
96,0.192792363
97,0.091025608
98,0.159446139
99,0.132671886
100,0.091025608