Random Generator,bet,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019,02-2020,04-2020,06-2020,08-2020,10-2020,12-2020,02-2021,04-2021,06-2021,08-2021,10-2021,12-2021,02-2022,04-2022,06-2022,08-2022,10-2022,12-2022,02-2023,04-2023,06-2023,08-2023,10-2023,12-2023
1,0.085037529,0.16517857142857142,0.15246636771300448,0.1409090909090909,0.11210762331838565,0.10909090909090909,0.11009174311926606,0.1232876712328767,0.12612612612612611,0.16055045871559634,0.1409090909090909,0.14864864864864866,0.16591928251121077,0.21266968325791855,0.20982142857142858,0.2183406113537118,0.2222222222222222,0.21777777777777776,0.19823788546255505,0.21982758620689655,0.1724137931034483,0.1829787234042553,0.15879828326180256,0.15217391304347827,0.1391304347826087,0.14537444933920704,0.14285714285714285,0.14473684210526316,0.1341991341991342,0.12121212121212122,0.1072961373390558,0.08823529411764706,0.06694560669456066,0.04897959183673469,0.044897959183673466,0.03734439834024896,0.036885245901639344
2,0.16991325399999999,0.4461538461538462,0.42911877394636017,0.4329501915708812,0.36259541984732824,0.3522727272727273,0.35658914728682173,0.3254901960784314,0.3107569721115538,0.324,0.3548387096774194,0.3545816733067729,0.30859375,0.3333333333333333,0.3938223938223938,0.4200743494423792,0.3939393939393939,0.36329588014981273,0.3233082706766917,0.3103448275862069,0.3269230769230769,0.32421875,0.3543307086614173,0.3779527559055118,0.3852140077821012,0.3372093023255814,0.3023255813953488,0.29343629343629346,0.2723735408560311,0.23137254901960785,0.20078740157480315,0.1953125,0.1626984126984127,0.10810810810810811,0.08267716535433071,0.06201550387596899,0.05813953488372093
3,0.210453261,0.43333333333333335,0.4345991561181435,0.5062761506276151,0.5591836734693878,0.5766129032258065,0.5684647302904564,0.4810126582278481,0.47186147186147187,0.4148471615720524,0.42410714285714285,0.4533333333333333,0.48660714285714285,0.4889867841409692,0.5339366515837104,0.5045045045045045,0.45132743362831856,0.4366812227074236,0.41201716738197425,0.358974358974359,0.3755274261603376,0.37446808510638296,0.3829787234042553,0.3879310344827586,0.4658119658119658,0.4698275862068966,0.3879310344827586,0.34347826086956523,0.2576419213973799,0.2413793103448276,0.23043478260869565,0.22270742358078602,0.1829787234042553,0.15,0.13389121338912133,0.1,0.09876543209876543
4,0.099769905,0.24870466321243523,0.25252525252525254,0.22613065326633167,0.21428571428571427,0.22613065326633167,0.208955223880597,0.18840579710144928,0.18009478672985782,0.19138755980861244,0.21800947867298578,0.22477064220183487,0.21363636363636362,0.22272727272727272,0.21777777777777776,0.2391304347826087,0.251063829787234,0.2703862660944206,0.26521739130434785,0.2857142857142857,0.2850877192982456,0.23809523809523808,0.23076923076923078,0.18333333333333332,0.1825726141078838,0.16736401673640167,0.15789473684210525,0.1285140562248996,0.1285140562248996,0.12096774193548387,0.10483870967741936,0.08267716535433071,0.0622568093385214,0.0546875,0.05019305019305019,0.050387596899224806,0.04980842911877394
5,0.06831377200000001,0.13934426229508196,0.1350210970464135,0.11914893617021277,0.1282051282051282,0.11158798283261803,0.08583690987124463,0.0851063829787234,0.08823529411764706,0.0875,0.08936170212765958,0.08823529411764706,0.06611570247933884,0.07346938775510205,0.07818930041152264,0.09795918367346938,0.10483870967741936,0.12601626016260162,0.14634146341463414,0.14919354838709678,0.16129032258064516,0.1774193548387097,0.17408906882591094,0.17408906882591094,0.20081967213114754,0.19433198380566802,0.1646586345381526,0.14919354838709678,0.13147410358565736,0.108,0.08979591836734693,0.05241935483870968,0.04435483870967742,0.02857142857142857,0.020161290322580645,0.01984126984126984,0.011857707509881422
6,0.172685055,0.44656488549618323,0.4576923076923077,0.4566929133858268,0.41106719367588934,0.40476190476190477,0.376984126984127,0.32653061224489793,0.30522088353413657,0.2903225806451613,0.29959514170040485,0.332,0.36964980544747084,0.3684210526315789,0.428,0.430327868852459,0.43568464730290457,0.42386831275720166,0.379746835443038,0.3458333333333333,0.325,0.31223628691983124,0.2803347280334728,0.2553191489361702,0.20920502092050208,0.18828451882845187,0.14979757085020243,0.12195121951219512,0.136,0.13253012048192772,0.11646586345381527,0.12601626016260162,0.14227642276422764,0.11788617886178862,0.1306122448979592,0.14979757085020243,0.13709677419354838
7,0.142392997,0.29435483870967744,0.3306122448979592,0.3598326359832636,0.37344398340248963,0.3925619834710744,0.4074074074074074,0.36666666666666664,0.3401639344262295,0.2979591836734694,0.3185483870967742,0.3426294820717131,0.3492063492063492,0.383399209486166,0.44223107569721115,0.4627450980392157,0.4880952380952381,0.48412698412698413,0.4779116465863454,0.43478260869565216,0.3843137254901961,0.3611111111111111,0.3187250996015936,0.336,0.3073770491803279,0.26556016597510373,0.24279835390946503,0.22594142259414227,0.17695473251028807,0.14049586776859505,0.125,0.0954356846473029,0.08823529411764706,0.100418410041841,0.09282700421940929,0.10833333333333334,0.10460251046025104
8,0.19138866,0.31981981981981983,0.32589285714285715,0.29596412556053814,0.28054298642533937,0.2636363636363636,0.2972972972972973,0.29333333333333333,0.3056768558951965,0.33766233766233766,0.36554621848739494,0.3983402489626556,0.42436974789915966,0.45064377682403434,0.4396551724137931,0.4765957446808511,0.49159663865546216,0.4810126582278481,0.5,0.4773662551440329,0.483739837398374,0.45528455284552843,0.4344262295081967,0.4049586776859504,0.43621399176954734,0.42857142857142855,0.33884297520661155,0.3524590163934426,0.3140495867768595,0.2926829268292683,0.32653061224489793,0.3117408906882591,0.256,0.236,0.22924901185770752,0.21176470588235294,0.2140077821011673
9,0.217387522,0.28205128205128205,0.3276595744680851,0.3090128755364807,0.32340425531914896,0.3458333333333333,0.3875,0.3877551020408163,0.45267489711934156,0.46443514644351463,0.4854771784232365,0.4669421487603306,0.4495798319327731,0.4767932489451477,0.42738589211618255,0.37344398340248963,0.4375,0.44166666666666665,0.42386831275720166,0.4767932489451477,0.49145299145299143,0.48523206751054854,0.4978723404255319,0.45217391304347826,0.5,0.459915611814346,0.4349593495934959,0.3821138211382114,0.368,0.38,0.3705179282868526,0.34552845528455284,0.291497975708502,0.3224489795918367,0.3114754098360656,0.3629032258064516,0.4
10,0.069329278,0.19838056680161945,0.1762295081967213,0.15163934426229508,0.128099173553719,0.1306122448979592,0.13008130081300814,0.1322314049586777,0.13445378151260504,0.14345991561181434,0.15546218487394958,0.15546218487394958,0.14102564102564102,0.14224137931034483,0.14782608695652175,0.15948275862068967,0.15611814345991562,0.17083333333333334,0.1646090534979424,0.15163934426229508,0.15476190476190477,0.136,0.12749003984063745,0.13414634146341464,0.11475409836065574,0.09504132231404959,0.07851239669421488,0.07024793388429752,0.06224066390041494,0.04184100418410042,0.04602510460251046,0.04184100418410042,0.03404255319148936,0.03333333333333333,0.03347280334728033,0.03734439834024896,0.03319502074688797
11,0.097824866,0.212,0.18473895582329317,0.20481927710843373,0.23577235772357724,0.252,0.25206611570247933,0.2821576763485477,0.3055555555555556,0.34509803921568627,0.3046875,0.3228346456692913,0.32558139534883723,0.3488372093023256,0.32421875,0.31906614785992216,0.311284046692607,0.29411764705882354,0.29961089494163423,0.2918287937743191,0.2777777777777778,0.27419354838709675,0.2693877551020408,0.27419354838709675,0.25793650793650796,0.2490118577075099,0.22957198443579765,0.17391304347826086,0.14741035856573706,0.12550607287449392,0.08943089430894309,0.07228915662650602,0.053061224489795916,0.056910569105691054,0.03543307086614173,0.031007751937984496,0.023076923076923078
12,0.13583981,0.26956521739130435,0.23376623376623376,0.26200873362445415,0.2987012987012987,0.2863247863247863,0.28270042194092826,0.28991596638655465,0.288135593220339,0.2532188841201717,0.29411764705882354,0.3037974683544304,0.3067226890756303,0.28991596638655465,0.31223628691983124,0.359504132231405,0.3004115226337449,0.3020408163265306,0.2571428571428571,0.2540322580645161,0.2948207171314741,0.3147410358565737,0.3176470588235294,0.33070866141732286,0.3134920634920635,0.2701612903225806,0.23170731707317074,0.21311475409836064,0.16872427983539096,0.14634146341463414,0.13524590163934427,0.12,0.0992063492063492,0.05668016194331984,0.058091286307053944,0.04878048780487805,0.036885245901639344
13,0.10572070300000001,0.15555555555555556,0.17410714285714285,0.18468468468468469,0.2054794520547945,0.22119815668202766,0.23963133640552994,0.2350230414746544,0.2727272727272727,0.3225806451612903,0.3644859813084112,0.391705069124424,0.4074074074074074,0.4027777777777778,0.40825688073394495,0.3901345291479821,0.33640552995391704,0.2972972972972973,0.3076923076923077,0.30357142857142855,0.27876106194690264,0.2775330396475771,0.26956521739130435,0.2777777777777778,0.2675438596491228,0.2413793103448276,0.22844827586206898,0.19480519480519481,0.18695652173913044,0.2079646017699115,0.17903930131004367,0.16,0.11504424778761062,0.10176991150442478,0.11538461538461539,0.09282700421940929,0.1092436974789916
14,0.147855245,0.3064516129032258,0.30522088353413657,0.2816326530612245,0.288,0.2908366533864542,0.30708661417322836,0.32421875,0.3333333333333333,0.3584905660377358,0.3828996282527881,0.3467153284671533,0.32727272727272727,0.31135531135531136,0.3188405797101449,0.3333333333333333,0.3161764705882353,0.2792452830188679,0.30303030303030304,0.3148148148148148,0.36466165413533835,0.3584905660377358,0.4329501915708812,0.4728682170542636,0.5426356589147286,0.45348837209302323,0.4263565891472868,0.3435114503816794,0.2490566037735849,0.20224719101123595,0.16296296296296298,0.12267657992565056,0.09363295880149813,0.09022556390977443,0.08139534883720931,0.09375,0.12109375
15,0.095953799,0.28695652173913044,0.2555066079295154,0.2775330396475771,0.26126126126126126,0.26126126126126126,0.25112107623318386,0.2631578947368421,0.2532188841201717,0.26200873362445415,0.2851063829787234,0.296137339055794,0.2936170212765957,0.3090128755364807,0.2948717948717949,0.3021276595744681,0.27310924369747897,0.3,0.27385892116182575,0.2530612244897959,0.25203252032520324,0.24081632653061225,0.244,0.23790322580645162,0.22727272727272727,0.200836820083682,0.17695473251028807,0.16942148760330578,0.13445378151260504,0.100418410041841,0.08713692946058091,0.07407407407407407,0.06584362139917696,0.058823529411764705,0.04201680672268908,0.05063291139240506,0.049586776859504134
16,0.085328162,0.1991701244813278,0.21161825726141079,0.20408163265306123,0.23481781376518218,0.236,0.22267206477732793,0.2388663967611336,0.21074380165289255,0.19583333333333333,0.19665271966527198,0.2301255230125523,0.21544715447154472,0.2248995983935743,0.21686746987951808,0.24497991967871485,0.2490118577075099,0.27165354330708663,0.32806324110671936,0.3188976377952756,0.332,0.32661290322580644,0.3107569721115538,0.3125,0.2890625,0.2549019607843137,0.23715415019762845,0.1875,0.13178294573643412,0.10714285714285714,0.08661417322834646,0.06589147286821706,0.043478260869565216,0.03968253968253968,0.027777777777777776,0.015748031496062992,0.023166023166023165
17,0.117817006,0.3662551440329218,0.37037037037037035,0.3603238866396761,0.32793522267206476,0.3524590163934426,0.37037037037037035,0.3709677419354839,0.3805668016194332,0.35080645161290325,0.34146341463414637,0.3481781376518219,0.3467741935483871,0.37037037037037035,0.3524590163934426,0.3481781376518219,0.3441295546558704,0.3442622950819672,0.36213991769547327,0.3911290322580645,0.391304347826087,0.36507936507936506,0.373015873015873,0.32558139534883723,0.27906976744186046,0.2677165354330709,0.22178988326848248,0.20866141732283464,0.20238095238095238,0.16205533596837945,0.1576923076923077,0.14453125,0.11811023622047244,0.1067193675889328,0.10196078431372549,0.09055118110236221,0.08366533864541832
18,0.20537721,0.5606694560669456,0.5875,0.5477178423236515,0.4838709677419355,0.448,0.40160642570281124,0.36693548387096775,0.34782608695652173,0.35177865612648224,0.4,0.45121951219512196,0.45491803278688525,0.47560975609756095,0.46774193548387094,0.4523809523809524,0.45525291828793774,0.4357976653696498,0.4117647058823529,0.4517374517374517,0.4671814671814672,0.49034749034749037,0.4269230769230769,0.43018867924528303,0.4580152671755725,0.375,0.299625468164794,0.22676579925650558,0.1828358208955224,0.19330855018587362,0.20146520146520147,0.21691176470588236,0.2126865671641791,0.18081180811808117,0.19494584837545126,0.20802919708029197,0.23550724637681159
19,0.147111447,0.33064516129032256,0.31950207468879666,0.34309623430962344,0.3469387755102041,0.3319838056680162,0.32098765432098764,0.32510288065843623,0.33195020746887965,0.3277310924369748,0.3067226890756303,0.275,0.2644628099173554,0.27091633466135456,0.2857142857142857,0.27626459143968873,0.3053435114503817,0.2950191570881226,0.29069767441860467,0.28346456692913385,0.28174603174603174,0.28174603174603174,0.28112449799196787,0.2589641434262948,0.23694779116465864,0.2056451612903226,0.18072289156626506,0.15447154471544716,0.11836734693877551,0.0954356846473029,0.1,0.102880658436214,0.09205020920502092,0.07563025210084033,0.059322033898305086,0.04201680672268908,0.042735042735042736
20,0.197381392,0.44642857142857145,0.4888888888888889,0.5240174672489083,0.5021834061135371,0.5065502183406113,0.47844827586206895,0.45,0.4340425531914894,0.38095238095238093,0.36324786324786323,0.4051724137931034,0.4206008583690987,0.43043478260869567,0.45689655172413796,0.4411764705882353,0.4472573839662447,0.4127659574468085,0.3793103448275862,0.35864978902953587,0.3333333333333333,0.3559322033898305,0.3723849372384937,0.38235294117647056,0.42127659574468085,0.388646288209607,0.33755274261603374,0.2796610169491525,0.24166666666666667,0.2157676348547718,0.2066115702479339,0.1774193548387097,0.1732283464566929,0.14741035856573706,0.16535433070866143,0.17647058823529413,0.19066147859922178
21,0.205786245,0.4204081632653061,0.4156378600823045,0.39330543933054396,0.38396624472573837,0.38197424892703863,0.4069264069264069,0.40948275862068967,0.41630901287553645,0.4525862068965517,0.4219409282700422,0.44166666666666665,0.3760330578512397,0.3483606557377049,0.31950207468879666,0.2809917355371901,0.2727272727272727,0.32098765432098764,0.36885245901639346,0.3588709677419355,0.373015873015873,0.3944223107569721,0.383399209486166,0.42231075697211157,0.43529411764705883,0.40625,0.36923076923076925,0.3269230769230769,0.2607003891050584,0.20078740157480315,0.1517509727626459,0.12941176470588237,0.0931174089068826,0.06224066390041494,0.07563025210084033,0.07983193277310924,0.08225108225108226
22,0.17612267,0.5289256198347108,0.47346938775510206,0.4066390041493776,0.3941908713692946,0.39183673469387753,0.3699186991869919,0.38271604938271603,0.3877551020408163,0.3877551020408163,0.3975409836065574,0.3868312757201646,0.3522267206477733,0.32926829268292684,0.32113821138211385,0.2948207171314741,0.3359683794466403,0.35968379446640314,0.33992094861660077,0.3055555555555556,0.2868525896414343,0.25882352941176473,0.26587301587301587,0.23904382470119523,0.24193548387096775,0.224,0.18072289156626506,0.132,0.099601593625498,0.07630522088353414,0.06967213114754098,0.076,0.07905138339920949,0.0796812749003984,0.10714285714285714,0.11553784860557768,0.13414634146341464
23,0.08698454800000001,0.32051282051282054,0.2863247863247863,0.2832618025751073,0.2796610169491525,0.2627118644067797,0.23404255319148937,0.2703862660944206,0.2672413793103448,0.26521739130434785,0.2974137931034483,0.3103448275862069,0.34051724137931033,0.354978354978355,0.32608695652173914,0.32456140350877194,0.27391304347826084,0.2543103448275862,0.21585903083700442,0.18584070796460178,0.18061674008810572,0.16740088105726872,0.17543859649122806,0.1762114537444934,0.1853448275862069,0.19742489270386265,0.1630901287553648,0.13478260869565217,0.12393162393162394,0.09090909090909091,0.08370044052863436,0.07391304347826087,0.05531914893617021,0.044444444444444446,0.03982300884955752,0.030434782608695653,0.017167381974248927
24,0.089500526,0.17391304347826086,0.17391304347826086,0.1976284584980237,0.22709163346613545,0.23846153846153847,0.26053639846743293,0.2595419847328244,0.2625482625482625,0.2578125,0.2795275590551181,0.2891566265060241,0.25203252032520324,0.25833333333333336,0.24380165289256198,0.25,0.2708333333333333,0.28451882845188287,0.2757201646090535,0.2782258064516129,0.26720647773279355,0.252,0.22131147540983606,0.1875,0.175,0.14893617021276595,0.1452991452991453,0.09401709401709402,0.08620689655172414,0.08260869565217391,0.06986899563318777,0.06437768240343347,0.059322033898305086,0.05128205128205128,0.04219409282700422,0.042735042735042736,0.034482758620689655
25,0.074497147,0.08108108108108109,0.07114624505928854,0.07142857142857142,0.08627450980392157,0.0859375,0.1124031007751938,0.1422924901185771,0.1484375,0.14566929133858267,0.1517509727626459,0.14285714285714285,0.17857142857142858,0.19921875,0.16731517509727625,0.1856060606060606,0.17537313432835822,0.18352059925093633,0.20446096654275092,0.20149253731343283,0.2126865671641791,0.2188679245283019,0.22433460076045628,0.22727272727272727,0.2188679245283019,0.21621621621621623,0.2134387351778656,0.172,0.1566265060240964,0.15853658536585366,0.18518518518518517,0.1762295081967213,0.15352697095435686,0.14754098360655737,0.1297071129707113,0.10699588477366255,0.10655737704918032
26,0.133984924,0.2231404958677686,0.25,0.24489795918367346,0.24899598393574296,0.224,0.20481927710843373,0.20967741935483872,0.2032520325203252,0.20816326530612245,0.25206611570247933,0.2674897119341564,0.24180327868852458,0.25206611570247933,0.2674897119341564,0.292,0.3117408906882591,0.30991735537190085,0.325,0.36401673640167365,0.35655737704918034,0.3643724696356275,0.37551020408163266,0.3724696356275304,0.3522267206477733,0.34285714285714286,0.2903225806451613,0.25,0.1487603305785124,0.125,0.0942622950819672,0.07755102040816327,0.04435483870967742,0.02880658436213992,0.02066115702479339,0.012244897959183673,0.012345679012345678
27,0.126547075,0.35968379446640314,0.344,0.35080645161290325,0.328,0.2992125984251969,0.3333333333333333,0.316,0.37401574803149606,0.37549407114624506,0.34782608695652173,0.35294117647058826,0.31906614785992216,0.30859375,0.32421875,0.31746031746031744,0.3438735177865613,0.3346456692913386,0.3413654618473896,0.36693548387096775,0.3492063492063492,0.311284046692607,0.2972972972972973,0.31297709923664124,0.33587786259541985,0.30337078651685395,0.2537313432835821,0.2029520295202952,0.1391941391941392,0.12043795620437957,0.10830324909747292,0.09057971014492754,0.07720588235294118,0.04814814814814815,0.034220532319391636,0.027131782945736434,0.031496062992125984
28,0.219043724,0.5019607843137255,0.4624505928853755,0.46,0.4591439688715953,0.4765625,0.4708171206225681,0.42803030303030304,0.42748091603053434,0.4772727272727273,0.46387832699619774,0.48314606741573035,0.4653846153846154,0.4942528735632184,0.46441947565543074,0.5036764705882353,0.5072463768115942,0.4962962962962963,0.45955882352941174,0.4607142857142857,0.4492753623188406,0.3639705882352941,0.4065934065934066,0.4852941176470588,0.4746376811594203,0.37992831541218636,0.31338028169014087,0.2857142857142857,0.26501766784452296,0.22887323943661972,0.2147887323943662,0.1696113074204947,0.1474820143884892,0.125,0.11363636363636363,0.11026615969581749,0.09615384615384616
29,0.074834934,0.18181818181818182,0.19111111111111112,0.19642857142857142,0.20982142857142858,0.20175438596491227,0.21397379912663755,0.21888412017167383,0.2127659574468085,0.21610169491525424,0.22127659574468084,0.2184873949579832,0.2245762711864407,0.20253164556962025,0.2094017094017094,0.19742489270386265,0.1902654867256637,0.18141592920353983,0.13777777777777778,0.12875536480686695,0.12446351931330472,0.11304347826086956,0.13793103448275862,0.13733905579399142,0.12663755458515283,0.11255411255411256,0.11965811965811966,0.1206896551724138,0.11637931034482758,0.10084033613445378,0.0995850622406639,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07468879668049792,0.07755102040816327,0.07407407407407407
30,0.217121305,0.40476190476190477,0.4238095238095238,0.4205607476635514,0.47706422018348627,0.46846846846846846,0.44594594594594594,0.4298642533936652,0.4351851851851852,0.3972602739726027,0.41935483870967744,0.44144144144144143,0.452914798206278,0.4841628959276018,0.5265486725663717,0.5938864628820961,0.6228070175438597,0.5394736842105263,0.5764192139737991,0.5435684647302904,0.569672131147541,0.5991902834008097,0.5643153526970954,0.5454545454545454,0.5186721991701245,0.4024896265560166,0.3603238866396761,0.30864197530864196,0.3469387755102041,0.3224489795918367,0.32098765432098764,0.2839506172839506,0.23868312757201646,0.19753086419753085,0.14583333333333334,0.12704918032786885,0.12552301255230125
31,0.127827847,0.2966101694915254,0.3008474576271186,0.29338842975206614,0.2975206611570248,0.29707112970711297,0.23949579831932774,0.23076923076923078,0.251063829787234,0.3173913043478261,0.336283185840708,0.41125541125541126,0.4358974358974359,0.4553191489361702,0.4322033898305085,0.45161290322580644,0.44223107569721115,0.4150197628458498,0.38247011952191234,0.3888888888888889,0.4032258064516129,0.384,0.40725806451612906,0.4291497975708502,0.428,0.3481781376518219,0.2931726907630522,0.236,0.20553359683794467,0.18823529411764706,0.14960629921259844,0.14285714285714285,0.12601626016260162,0.08835341365461848,0.084,0.06097560975609756,0.05714285714285714
32,0.060388433,0.15879828326180256,0.13924050632911392,0.12340425531914893,0.14522821576763487,0.1557377049180328,0.14754098360655737,0.18951612903225806,0.2032520325203252,0.22633744855967078,0.2248995983935743,0.21912350597609562,0.224,0.22,0.19047619047619047,0.18326693227091634,0.16600790513833993,0.15625,0.15234375,0.1434108527131783,0.14173228346456693,0.13076923076923078,0.13545816733067728,0.12449799196787148,0.11020408163265306,0.11522633744855967,0.10887096774193548,0.11570247933884298,0.10569105691056911,0.10655737704918032,0.07630522088353414,0.05668016194331984,0.06172839506172839,0.04526748971193416,0.040160642570281124,0.019762845849802372,0.012096774193548387
33,0.09815110699999999,0.24789915966386555,0.24789915966386555,0.2184873949579832,0.20253164556962025,0.22127659574468084,0.23404255319148937,0.2594142259414226,0.28870292887029286,0.32217573221757323,0.35319148936170214,0.3487394957983193,0.35294117647058826,0.30638297872340425,0.30303030303030304,0.2608695652173913,0.21551724137931033,0.2,0.19915254237288135,0.1652542372881356,0.15254237288135594,0.13692946058091288,0.13807531380753138,0.15319148936170213,0.13675213675213677,0.14655172413793102,0.14285714285714285,0.12173913043478261,0.13596491228070176,0.12334801762114538,0.1038961038961039,0.10683760683760683,0.09871244635193133,0.09170305676855896,0.07017543859649122,0.048672566371681415,0.04
